Weight,United States,United Kingdom,Canada,Australia,Germany,Austria,Bahrain,Belgium,Denmark,Finland,France,Greece,Hong Kong,Ireland,Italy,Luxembourg,Malaysia,Mexico,Netherlands,Norway,Oman,Portugal,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,United Arab Emirates,
16.0,8437.0,6141.0,8437.0,12539.0,5530.0,6141.0,13163.0,5530.0,6202.0,6141.0,6202.0,6141.0,8827.0,6141.0,6202.0,5530.0,8827.0,8437.0,5530.0,6141.0,11537.0,6141.0,16503.0,8827.0,16009.0,6141.0,6141.0,6202.0,8827.0,7883.0,
16.5,8609.0,6313.0,8609.0,13322.0,5684.0,6313.0,13985.0,5684.0,6328.0,6313.0,6328.0,6313.0,9379.0,6313.0,6328.0,5684.0,9379.0,8609.0,5684.0,6313.0,12259.0,6313.0,17534.0,9379.0,17009.0,6313.0,6313.0,6328.0,9379.0,8376.0,
17.0,8761.0,6491.0,8761.0,13322.0,5662.0,6491.0,13985.0,5662.0,6457.0,6491.0,6457.0,6491.0,9379.0,6491.0,6457.0,5662.0,9379.0,8761.0,5662.0,6491.0,12259.0,6491.0,17534.0,9379.0,17009.0,6491.0,6491.0,6457.0,9379.0,8376.0,
17.5,8927.0,6665.0,8927.0,14106.0,5814.0,6665.0,14808.0,5814.0,6579.0,6665.0,6579.0,6665.0,9931.0,6665.0,6579.0,5814.0,9931.0,8927.0,5814.0,6665.0,12980.0,6665.0,18565.0,9931.0,18010.0,6665.0,6665.0,6579.0,9931.0,8869.0,
18.0,9106.0,6838.0,9106.0,14106.0,5964.0,6838.0,14808.0,5964.0,6713.0,6838.0,6713.0,6838.0,9931.0,6838.0,6713.0,5964.0,9931.0,9106.0,5964.0,6838.0,12980.0,6838.0,18565.0,9931.0,18010.0,6838.0,6838.0,6713.0,9931.0,8869.0,
18.5,9286.0,7013.0,9286.0,14890.0,6117.0,7013.0,15631.0,6117.0,6839.0,7013.0,6839.0,7013.0,10482.0,7013.0,6839.0,6117.0,10482.0,9286.0,6117.0,7013.0,13701.0,7013.0,19597.0,10482.0,19010.0,7013.0,7013.0,6839.0,10482.0,9361.0,
19.0,9473.0,7185.0,9473.0,14890.0,6266.0,7185.0,15631.0,6266.0,6966.0,7185.0,6966.0,7185.0,10482.0,7185.0,6966.0,6266.0,10482.0,9473.0,6266.0,7185.0,13701.0,7185.0,19597.0,10482.0,19010.0,7185.0,7185.0,6966.0,10482.0,9361.0,
19.5,9659.0,7363.0,9659.0,15516.0,6419.0,7363.0,16423.0,6419.0,7095.0,7363.0,7095.0,7363.0,10339.0,7363.0,7095.0,6419.0,10339.0,9659.0,6419.0,7363.0,14312.0,7363.0,20376.0,10339.0,20001.0,7363.0,7363.0,7095.0,10339.0,9823.0,
20.0,9832.0,7533.0,9832.0,15516.0,6572.0,7533.0,16423.0,6572.0,7220.0,7533.0,7220.0,7533.0,10339.0,7533.0,7220.0,6572.0,10339.0,9832.0,6572.0,7533.0,14312.0,7533.0,20376.0,10339.0,20001.0,7533.0,7533.0,7220.0,10339.0,9823.0,
20.5,12540.0,9117.0,12540.0,16292.0,8107.0,9117.0,17244.0,8107.0,8788.0,9117.0,8788.0,9117.0,10856.0,9117.0,8788.0,8107.0,10856.0,12540.0,8107.0,9117.0,15028.0,9117.0,21394.0,10856.0,21001.0,9117.0,9117.0,8788.0,10856.0,10315.0,
